70,191,GARSIDE1800-1829,20100817,1802A035,Astonishment!!!,Francis LATHOM,1802,potgoth,Male,,"ASTONISHMENT!!! A ROMANCE OF A CENTURY AGO, IN TWO VOLUMES, BY FRANCIS LATHOM, AUTHOR OF ""MEN AND MANNERS&#8212;MYSTERY&#8212;MIDNIGHT BELL&#8212;CASTLE OF OLLADA&#8212;DASH OF THE DAY&#8212;ORLANDO AND SERAPHINA, OR THE FUNERAL PILE&#8212;HOLIDAY TIME, OR THE SCHOOL-BOY'S FROLIC&#8212;CURIOSITY, &C. &C","London:                     Printed for T. N. Longman and O. Rees, Paternoster-Row, 1802","2 vols (I iv, 318p; II 309p). 12&deg;",Corvey; CME 3-628-47953-3; ECB 330; EN2 1802: 36; NSTC L539; OCLC 6893140,"Note (unn.) stating that 'For the Poetry interspersed in these Volumes, the Author is indebted to a Female Friend'; followed by 'A Few Words to Begin With' (vol. 1, pp. [iii]&ndash;iv). Vignette design of 'Payne, Printer, Norwich' at end of both vols",Newman edn 1821 (OCLC),LATHOM
103,261,GARSIDE1800-1829,20100817,1803A044,"Very Strange, but Very True!",Francis LATHOM,1803,potgoth,Male,,"VERY STRANGE, BUT VERY TRUE! OR, THE HISTORY OF AN OLD MAN'S YOUNG WIFE. A NOVEL. BY FRANCIS LATHOM, AUTHOR OF&#8212;""MEN AND MANNERS""&#8212;""MYSTERY"" ""ASTONISHMENT! OR, A ROMANCE OF A CENTURY AGO""&#8212;""MIDNIGHT BELL""&#8212;""CASTLE OF OLLADA"" &C. &C. &C. IN FOUR VOLUMES","London:                     Printed by A. Strahan, Printers-Street, for T. N. Longman and O. Rees, Paternoster-Row, 1803",4 vols (I 244p; II 236p; III 235p; IV 216p). 12&deg;,Corvey; CME 3-628-47965-7; ECB 612; EN2 1803: 43; NSTC L547; OCLC 6875854,"Text proper in vol. 2 ends on p. 234; pp. [235]&ndash;236: 'Works by the same Author'. Text proper in vol. 4 ends on p. 211, followed by advs pp. [212]&ndash;216",2nd edn 1821 (OCLC),LATHOM
171,418,GARSIDE1800-1829,20100817,1805A047,"Impenetrable Secret, The",Francis LATHOM,1805,potgoth,Male,,"THE IMPENETRABLE SECRET, FIND IT OUT! A NOVEL. IN TWO VOLUMES. BY FRANCIS LATHOM, AUTHOR OF MEN AND MANNERS; THE MYSTERY, &C. &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1805","2 vols (I xi, 277p, ill.; II 259p). 12&deg;",Corvey; CME 3-628-47955-X; ECB 330; EN2 1805: 46; NSTC L544; OCLC 6893213,,2nd edn 1831 (NSTC),LATHOM
225,554,GARSIDE1800-1829,20100817,1807A035,Human Beings,Francis LATHOM,1807,potgoth,Male,,"HUMAN BEINGS, A NOVEL. IN THREE VOLUMES. BY FRANCIS LATHOM, AUTHOR OF MEN AND MANNERS&#8212;THE MYSTERIOUS FREEBOOTER&#8212;MYSTERY&#8212;THE IMPENETRABLE SECRET&#8212;ASTONISHMENT&#8212;THE MIDNIGHT BELL&#8212;ERESTINA, &C. &C","London:                     Printed for B. Crosby and Co. Stationers-Court. By J. and E. Hodson, Cross Street, Hatton Garden, 1807","3 vols (I viii, 295p; II 303p; III 309p). 12&deg;",Corvey; CME 3-628-47958-4; ECB 330; EN2 1807: 36; NSTC L543; OCLC 6893187,,,LATHOM
299,736,GARSIDE1800-1829,20100817,1809A037,"London; or, Truth without Reason",Francis LATHOM,1809,potgoth,Male,,"LONDON; OR, TRUTH WITHOUT TREASON. A NOVEL. IN FOUR VOLUMES. BY FRANCIS LATHOM, AUTHOR OF THE MYSTERIOUS FREEBOOTER, THE UNKNOWN, MYSTERY, ERESTINA, &C. &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1809","4 vols (I viii, 296p; II 312p; III 295p; IV 322p). 12&deg;",Corvey; CME 3-628-47959-2; ECB 330; EN2 1809: 39; xNSTC; xOCLC,,,LATHOM
530,1487,GARSIDE1800-1829,20100817,1820A042,"One-Pound Note, The",Francis LATHOM,1820,potgoth,Male,,"THE ONE-POUND NOTE, AND OTHER TALES. IN TWO VOLUMES. BY FRANCIS LATHOM, AUTHOR OF ITALIAN MYSTERIES; MYSTERIOUS FREEBOOTER; LONDON; ROMANCE OF THE HEBRIDES; THE UNKNOWN; MEN AND MANNERS; MYSTERY; FATAL VOW; VERY STRANGE BUT VERY TRUE; ASTONISHMENT, &C. &C","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1820",2 vols (I 271p; II 245p). 12&deg;,Corvey; CME 3-628-51075-9; ECB 330; EN2 1820: 43; NSTC 2L5037; OCLC 6875432,,,LATHOM
592,1643,GARSIDE1800-1829,20100817,1822A053,Puzzled and Pleased,Francis LATHOM,1822,potgoth,Male,,"PUZZLED AND PLEASED; OR, THE TWO OLD SOLDIERS: AND OTHER TALES. IN THREE VOLUMES. BY FRANCIS LATHOM, AUTHOR OF THE MYSTERIOUS FREEBOOTER, UNKNOWN, VERY STRANGE BUT VERY TRUE, MEN AND MANNERS, ROMANCE OF THE HEBRIDES, LONDON, MYSTERY, ONE POUND NOTE, IMPENETRABLE SECRET, HUMAN BEINGS, ITALIAN MYSTERIES, ASTONISHMENT, FATAL VOW, MIDNIGHT BELL, &C. &C","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1822",3 vols (I 274p; II 270p; III 225p). 12&deg;,Corvey; CME 3-628-47902-9; ECB 331; EN2 1822: 53; NSTC 2L5039; OCLC 6875759,,,LATHOM
627,1722,GARSIDE1800-1829,20100817,1823A050,Live and Learn,Francis LATHOM,1823,potgoth,Male,,"LIVE AND LEARN; OR, THE FIRST JOHN BROWN, HIS FRIENDS, ENEMIES, AND ACQUAINTANCE, IN TOWN AND COUNTRY. A NOVEL. IN FOUR VOLUMES. BY FRANCIS LATHOM, AUTHOR OF PUZZLED AND PLEASED, THE MYSTERIOUS FREEBOOTER, THE UNKNOWN, VERY STRANGE BUT VERY TRUE, MEN AND MANNERS, ROMANCE OF THE HEBRIDES, ONE POUND NOTE, ITALIAN MYSTERIES, ASTONISHMENT, &C. &C","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1823","4 vols (I xi, 260p; II 290p; III 317p; IV 292p). 12&deg;",Corvey; CME 3-628-47903-7; ECB 330; EN2 1823: 53; NSTC 2L5033; xOCLC,"Introductory 'A Few Words to Begin With', dated 1 Oct 1822",,LATHOM
670,1819,GARSIDE1800-1829,20100817,1824A060,"Polish Bandit, The",Francis LATHOM,1824,potgoth,Male,,"THE POLISH BANDIT; OR, WHO IS MY BRIDE? AND OTHER TALES. IN THREE VOLUMES. BY FRANCIS LATHOM, AUTHOR OF PUZZLED AND PLEASED, THE MYSTERIOUS FREEBOOTER, THE UNKNOWN, VERY STRANGE BUT VERY TRUE, MEN AND MANNERS, ROMANCE OF THE HEBRIDES, ONE POUND NOTE, ITALIAN MYSTERIES, LIVE AND LEARN, ASTONISHMENT, &C","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1824",3 vols (I 241p; II 257p; III 276p). 12&deg;,Corvey; CME 3-628-51076-7; ECB 331; EN2 1824: 59; NSTC 2L5038; xOCLC,,,LATHOM
844,2159,GARSIDE1800-1829,20100817,1828A053,Young John Bull,Francis LATHOM,1828,potgoth,Male,,"YOUNG JOHN BULL; OR, BORN ABROAD AND BRED AT HOME. A NOVEL. BY FRANCIS LATHOM, AUTHOR OF THE MYSTERIOUS FREEBOOTER; PUZZLED AND PLEASED; LONDON; HUMAN BEINGS; VERY STRANGE BUT VERY TRUE; ASTONISHMENT; POLISH BANDIT; UNKNOWN; FATAL VOW; MIDNIGHT BELL; LIVE AND LEARN; MEN AND MANNERS; &C. &C. IN THREE VOLUMES","London:                     A. K. Newman & Co. Leadenhall-Street, 1828","3 vols (I viii, 327p; II 286p; III 283p). 12&deg;",Corvey; CME 3-628-47966-5; ECB 331; EN2 1828: 54; NSTC 2L5041; xOCLC,"The Author's Address to the Reader', dated Philadelphia, 1 Mar 1828",,LATHOM
889,2243,GARSIDE1800-1829,20100817,1829A054,Fashionable Mysteries,Francis LATHOM,1829,potgoth,Male,,"FASHIONABLE MYSTERIES; OR, THE RIVAL DUCHESSES, AND OTHER TALES. BY FRANCIS LATHOM, AUTHOR OF THE MYSTERIOUS FREEBOOTER; PUZZLED AND PLEASED; LONDON; YOUNG JOHN BULL; VERY STRANGE BUT VERY TRUE; ASTONISHMENT; POLISH BANDIT; UNKNOWN; FATAL VOW; MIDNIGHT BELL; LIVE AND LEARN; HUMAN BEINGS; MEN AND MANNERS; &C. &C. IN THREE VOLUMES","London:                     Printed for A. K. Newman and Co., 1829",3 vols (I 297p; II 274p; III 281p). 12&deg;,Corvey; CME 3-628-47957-6; ECB 330; EN2 1829: 53; NSTC 2L5029; xOCLC,,,LATHOM
567,1569,GARSIDE1800-1829,20100817,1821A054,Valerius,John Gibson LOCKHART,1821,potgoth,Male,,VALERIUS; A ROMAN STORY. IN THREE VOLUMES,"Edinburgh:                     Printed for William Blackwood, and T. Cadell, Strand, London, 1821",3 vols (I 311p; II 347p; III 312p). 12&deg;,Corvey; CME 3-628-48852-4; ECB 609; EN2 1821: 56; NSTC 2L19491; OCLC 1972341,,New edn 1842 (NSTC); 1845 (OCLC);  Boston 1821 (NSTC),LOCKHART
593,1644,GARSIDE1800-1829,20100817,1822A054,Some Passages in the Life of Mr Adam Blair Minister of the Gospel at Cross-Meikle,John Gibson LOCKHART,1822,potgoth,Male,,SOME PASSAGES IN THE LIFE OF MR ADAM BLAIR MINISTER OF THE GOSPEL AT CROSS-MEIKLE,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1822",1 vol.  (337p). 8&deg;,Corvey; CME 3-628-48671-8; ECB 549; EN2 1822: 54; NSTC 2L19485; OCLC 24242923,,2nd edn 1824 (NSTC); 1843 (NSTC); Boston 1822 (OCLC),LOCKHART
628,1727,GARSIDE1800-1829,20100817,1823A055,Reginald Dalton,John Gibson LOCKHART,1823,potgoth,Male,,"REGINALD DALTON. BY THE AUTHOR OF VALERIUS, AND ADAM BLAIR. IN THREE VOLUMES","Edinburgh:                     William Blackwood, and T. Cadell. London, 1823",3 vols (I 346p; II 343p; III 337p). 8&deg;,Corvey; CME 3-628-48561-4; ECB 484; EN2 1823: 57; NSTC 2L19483; OCLC 2275988,Dedication to Henry Mackenzie,"1842 (NSTC); 1846 (OCLC); 1849 (NSTC); New York 1823 (NSTC); German trans., 1824?",LOCKHART
671,1820,GARSIDE1800-1829,20100817,1824A061,History of Matthew Wald,John Gibson LOCKHART,1824,potgoth,Male,,THE HISTORY OF MATTHEW WALD,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1824",1 vol.  (382p). 8&deg;,Corvey; CME 3-628-47707-7; ECB 273; EN2 1824: 60; NSTC 2L19450; OCLC 1117477,,"1840 (NSTC); 1843 (NSTC); New York 1824 (OCLC); German trans., 1825",LOCKHART
30,55,GARSIDE1800-1829,20100817,1800A055,Mordaunt,John MOORE,1800,potgoth,Male,,"MORDAUNT. SKETCHES OF LIFE, CHARACTERS, AND MANNERS, IN VARIOUS COUNTRIES; INCLUDING THE MEMOIRS OF A FRENCH LADY OF QUALITY. BY THE AUTHOR OF ZELUCO & EDWARD","London:                     Printed for G. G. and J. Robinson, Paternoster-Row; S. Hamilton, Falcon-Court, Fleet-Street, 1800","3 vols (I ii, 403p; II ii, 408p; III ii, 460p). 8&deg;",BL 12611.h.16; CME 3-628-48297-6; EM 197: 1; EN2 1800: 56; ESTC t057357; OCLC 3890141,Corvey copy has misbound pages at end of vol. 1,Dublin 1800 (ESTC); Chiswick 1830 (NSTC); New York 1801 (OCLC),MOORE
688,1830,GARSIDE1800-1829,20100817,1824A071,"Adventures of Hajji Baba, The",James Justinian MORIER,1824,potgoth,Male,,"THE ADVENTURES OF HAJJI BABA, OF ISPAHAN. IN THREE VOLUMES","London:                     John Murray, Albemarle-Street, 1824","3 vols (I lxxv, 272p; II 403p; III 387p). 8&deg;",Corvey; CME 3-628-47016-1; ECB 396; EN2 1824: 70; NSTC 2M36628; OCLC 18278244,"Intoductory Epistle to Rev. Dr Fundgruben, signed 'Peregrine Persic', London, 1 Dec 1823. The last page of vol. 3 is mistakenly numbered 388","2nd edn 1824 (NSTC); 1835 (NSTC); 1849 (NUC); Philadelphia 1824 (OCLC); French trans., 1824; German trans., 1824",MORIER
868,2165,GARSIDE1800-1829,20100817,1828A059,"Adventures of Hajji Baba, of Ispahan, in England, The",James Justinian MORIER,1828,potgoth,Male,,"THE ADVENTURES OF HAJJI BABA, OF ISPAHAN, IN ENGLAND. IN TWO VOLUMES","London:                     John Murray, Albemarle-Street, 1828","2 vols (I xxxii, 306p; II 352p). 12&deg;",BL N.564; ECB 396; EN2 1828: 60; NSTC 2M36629; OCLC 3857113,"Introduction dated London, 19 Apr 1828","1835 (NSTC); 1850 (NSTC); New York & Philadelphia 1828 (NSTC, NUC); German trans., 1829",MORIER
869,2166,GARSIDE1800-1829,20100817,1828A060,"Romance of History, The",Henry NEELE,1828,potgoth,Male,,THE ROMANCE OF HISTORY. ENGLAND. BY HENRY NEELE. IN THREE VOLUMES,"London:                     Printed for Edward Bull, 26, Holles Street, Cavendish Square, 1828","3 vols (I ix, vi, 355p; II vi, 364p; III vi, 352p). 12&deg;",Corvey; CME 3-628-51101-1; ECB 409; EN2 1828: 61; NSTC 2R16432; OCLC 6365281,Dedication 'to the King's Most Excellent Majesty',"2nd edn 1828 (OCLC); 3rd edn 1829 (OCLC); 4th edn 1831 (NSTC); 1833 (NSTC); Philadelphia 1828 (NSTC); German trans., 1828 [as <i>Romantische Erz&auml;hlungen aus der Geschichte Englands</i> (RS)]",NEELE
531,1500,GARSIDE1800-1829,20100817,1820A055,Giovanni Sbogarro,Jean Emmanuel Charles NODIER,1820,potgoth,Male,Peter IRVING,"GIOVANNI SBOGARRO, A VENETIAN TALE. TAKEN FROM THE FRENCH. BY PERCIVAL GORDON","London:                     Printed for Baldwin, Cradock, and Joy, Paternoster Row, 1820","2 vols (I iv, 270p; II 360p). 12&deg;",Corvey; CME 3-628-47796-4; ECB 231; EN2 1820: 56; xNSTC; xOCLC,"Trans. Of <i>Jean Sbogar</i> (Paris, 1818). Preface dated Jan 1820, states the 'present account' to be 'taken from an anonymous French work, but with considerable alterations'. ECB lists as 'Transl. from French by Percival Gordon'. However, OCLC 30636620, in describing the New York edn of 1820, attributes the translation to Peter Irving (1771&ndash;1838), with Percival Gordon being a pseudonym. Since Irving, the elder brother of Washington Irving, published primarily from America, this would also indicate that the New York edn preceded the British edn",New York 1820 (OCLC),NODIER
475,1354,GARSIDE1800-1829,20100817,1818A044,Altham and his Wife,Charles OLLIER,1818,potgoth,Male,,ALTHAM AND HIS WIFE. A DOMESTIC TALE,"London:                     Printed for C. & J. Ollier, Vere Street, Bond Street, 1818",1 vol.  (198p). 12&deg;,Corvey; CME 3-628-47047-1; EN2 1818: 45; NSTC 2O3539; OCLC 38251130,Collates in sixes,,OLLIER
672,1832,GARSIDE1800-1829,20100817,1824A073,Inesilla,Charles OLLIER,1824,potgoth,Male,,"INESILLA, OR THE TEMPTER, A ROMANCE; WITH OTHER TALES. BY CHARLES OLLIER, AUTHOR OF ""ALTHAM AND HIS WIFE.""","London:                     Printed for E. Lloyd and Son, Harley-Street; and William Blackwood, Edinburgh, 1824","1 vol.  (viii, 287p). 12&deg;",Corvey; CME 3-628-51110-0; ECB 295; EN2 1824: 72; NSTC 2O3543; OCLC 8302082,"Dedication to Chandos Leigh, Esq. 'Advertisement' signed 'C. O.', Dec 1823",,OLLIER
104,273,GARSIDE1800-1829,20100817,1803A056,"World as It Goes, The",John PALMER,1803,potgoth,Male,,"THE WORLD AS IT GOES; OR, PORTRAITS FROM NATURE. A NOVEL. BY JOHN PALMER, AUTHOR OF THE HAUNTED CAVERN. IN TWO VOLUMES","London:                     Printed by W. Flint, Old Bailey, for Moore and Beauclerc, No. 332, Oxford-Street, 1803",2 vols (I 218p; II 227p). 12&deg;,Corvey; CME 3-628-48379-4; EN2 1803: 56; xNSTC; OCLC 13357753,"Dedication to Sir Francis Burdett, dated Oct 1802",,PALMER
354,932,GARSIDE1800-1829,20100817,1811A063,Like Master like Man,John PALMER,1811,potgoth,Male,,"LIKE MASTER LIKE MAN: A NOVEL. IN TWO VOLUMES. BY THE LATE JOHN PALMER, (OF THE THEATRE ROYAL, IN THE HAYMARKET:) SON TO THE DECEASED AND CELEBRATED JOHN PALMER, OF THE THEATRE ROYAL DRURY-LANE, AND OF THE ABOVE MENTION'D THEATRE. WITH A PREFACE, BY GEORGE COLMAN, THE YOUNGER","London:                     Printed for the Relief of the Author's Widow, and sold by W. Earle, at his Original English and Foreign Library, Albemarle Street, Piccadilly, 1811","2 vols (I xxxii, 261p; II 213p). 12&deg;",BL 12613.bbb.30; ECB 430; EN2 1811: 63; NSTC P175; OCLC 47569744,"Preface, signed 'George Colman, The Younger' and dated 10 Apr 1811, followed by 'List of Subscribers', vol. 1, pp. [xxix]&ndash;xxxii",,PALMER
646,1739,GARSIDE1800-1829,20100817,1823A067,Koningsmarke,James Kirke PAULDING,1823,potgoth,Male,,"KONINGSMARKE, THE LONG FINNE, A STORY OF THE NEW WORLD. IN THREE VOLUMES","London:                     Re-printed for G. and W. B. Whittaker, 1823",3 vols (I 274p; II 257p; III 264p). 12&deg;,Corvey; CME 3-628-47887-1; ECB 324; EN2 1823: 68; NSTC 2K8851; OCLC 2452543,"Full imprint actually reads: 'New York: Printed. London: Re-printed for G. and W. B. Whittaker, 1823.' Printer's mark and colophon in vols 1 and 2 'Printed by Cox and Baylis, Great Queen Street'; in vol. 3 colophon 'Printed by W. Clowes, Northumberland-Court', but printer's mark of 'Cox and Baylis, Great Queen Street'. Originally published New York 1823 (Blanck)","German trans., 1824",PAULDING
735,1923,GARSIDE1800-1829,20100817,1825A065,John Bull in America,James Kirke PAULDING,1825,potgoth,Male,,"JOHN BULL IN AMERICA; OR, THE NEW MUNCHAUSEN","London:                     John Miller, New Bridge Street, Blackfriars, 1825","1 vol.  (xix, 327p). 12&deg;",BL 837.d.26; CME 3-628-47991-6; ECB 309; EN2 1825: 65; NSTC 2P7326; OCLC 12234607,"Preface of the Editor', pp. [iii]&ndash;xix, dated Washington, 10 Oct 1824. Originally published New York 1825 (Blanck, OCLC)",,PAULDING
476,1358,GARSIDE1800-1829,20100817,1818A048,Nightmare Abbey,Thomas Love PEACOCK,1818,potgoth,Male,,NIGHTMARE ABBEY: BY THE AUTHOR OF HEADLONG HALL,"London:                     Printed for T. Hookham, jun. Old Bond-Street; and Baldwin, Cradock, and Joy, Paternoster-Row, 1818",1 vol.  (218p). 12&deg;,Corvey; CME 3-628-48228-3; ECB 414; EN2 1818: 48; NSTC 2P8180; OCLC 6968795,,"1837 (NSTC); Philadelphia 1819 (OCLC); German trans., 1819 [as <i>Die Burg Alphausen, oder Zyprians Frauenwahl</i> (RS)]",PEACOCK
692,1836,GARSIDE1800-1829,20100817,1824A077,Tales and Sketches of the West of Scotland,Andrew PICKEN,1824,potgoth,Male,,TALES AND SKETCHES OF THE WEST OF SCOTLAND. BY CHRISTOPHER KEELIVINE,"Glasgow:                     Printed for Robertson and Atkinson; and sold by Archibald Constable and Co. Edinburgh, and Hurst, Robinson, and Co. London, 1824",1 vol.  (366p). 12&deg;,Corvey; CME 3-628-51084-8; EN2 1824: 76; xNSTC; xOCLC,"Collates in sixes. A copy in the Cambridge University Library has t.p. with same year imprint reading 'Edinburgh, Oliver and Boyd; G. & W. B. Whittaker, London; and Robertson & Atkinson, Glasgow'","German trans., 1824 [as 'Erz&auml;hlungen, aus dem Leben in Schottland' (RS)]",PICKEN
915,2255,GARSIDE1800-1829,20100817,1829A066,"Sectarian, The",Andrew PICKEN,1829,potgoth,Male,,"THE SECTARIAN; OR, THE CHURCH AND THE MEETING-HOUSE. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829",3 vols (I 282p; II 306p; III 324p). 12&deg;,Corvey; CME 3-628-48672-6; ECB 525; EN2 1829: 65; NSTC 2P15789; OCLC 35981713,,,PICKEN
918,2258,GARSIDE1800-1829,20100817,1829A069,Tales and Confessions,Leitch RITCHIE,1829,potgoth,Male,,TALES AND CONFESSIONS. BY LEITCH RITCHIE,"London:                     Smith, Elder, & Co. 65, Cornhill, 1829","1 vol.  (xii, 364p). 12&deg;",Corvey; CME 3-628-51128-3; ECB 495; EN2 1829: 68; NSTC 2R11602; xOCLC,"Dedication to James Augustus St John, Esq., dated London, 18 Nov 1828","New edn, with additions, 1833, as <i>London Nights' Entertainments</i> (NSTC); Philadelphia 1833, also as <i>London Nights' Entertainments</i> (OCLC)",RITCHIE
743,1937,GARSIDE1800-1829,20100817,1825A079,"Pictures, The",Johann Ludwig TIECK,1825,potgoth,Male,Connop THIRWALL,"THE PICTURES; THE BETROTHING. NOVELS, TRANSLATED FROM THE GERMAN OF LEWIS TIECK","London:                     Printed for Geo. B. Whittaker, Ave-Maria-Lane, 1825","1 vol.  (xxxix, 255p). 8&deg;",BL 12611.d.7; ECB 591; EN2 1825: 78; NSTC 2T7685; OCLC 7142523,"Trans of <i>Die Gem&auml;lde</i> (Dresden, 1823) and <i>Die Verlobung</i> (Dresden, 1823). 'The Pictures', pp. [1]&ndash;151; 'The Betrothing', pp. [153]&ndash;255",,TIECK
141,369,GARSIDE1800-1829,20100817,1804A073,Confessions in Elysium,Christoph Martin WIELAND,1804,potgoth,Male,John Battersby ELRINGTON,"CONFESSIONS IN ELYSIUM, OR THE ADVENTURES OF A PLATONIC PHILOSOPHER; TAKEN FROM THE GERMAN OF C. M. WIELAND; BY JOHN BATTERSBY ELRINGTON, ESQ","London:                     Printed for J. Bell, No. 148, Oxford-Street; by G. Sidney, Northumberland-Street, Strand, 1804","3 vols (I xvi, 200p; II 223p; III 228p). 12&deg;","University of Michigan, Ann Arbor 838.W64ge.tE5; ECB 130; EN2 1804: 71; xNSTC; OCLC 34335420","Trans. of <i>Geheime Geschichte des Philosophen Peregrinus Proteus</i> (Leipzig, 1790&ndash;91). Dedication 'To His Royal Highness Prince William Frederick of Glocester [sic]', signed I. B. Elrington, London, 1 Mar 1804. 'To Subscribers', signed 'The Translator' (1 p. unn.): no proper subscription list found. 'To The World', signed 'I. B. E.', dated London, 1 Mar 1804. OCLC entry, describing copy held at University of London, Institute of Germanic Studies, gives imprint as 'London, George Sidney, Printer', perhaps indicating a variant t.p. from that described above. For commentary on John Battersby Elrington, see <a href=""../guide/update4.html"">EN2 Update 4</a>","1804 (NSTC W1820). BL 12548.bb.42 has the imprint of the Minerva Press, and identical pagination, indicating a same-year reissue",WIELAND
629,1757,GARSIDE1800-1829,20100817,1823A085,Crates and Hipparchia,Christoph Martin WIELAND,1823,potgoth,Male,Charles Richard COKE,"CRATES AND HIPPARCHIA. A TALE, IN A SERIES OF LETTERS; TRANSLATED FROM THE GERMAN OF CHRISTOPHER M. WIELAND: BY CHARLES RICHARD COKE","Norwich:                     Printed by and for John Stacy, and sold in London, by Longman, Hurst, Rees, Orme, and Brown; Baldwin, Cradock, and Joy; G. and W. B. Whittaker; Harvey and Darton; W. Wright; C. H. Baldwyn; and Henry Mozley, Derby, 1823","1 vol.  (xii, 132p). 8&deg;",BL 12611.d.9; EN2 1823: 85; NSTC 2W19328; OCLC 22805620,"Trans. of <i>Krates und Hipparchia</i> (Stuttgart, 1805). 'Subscribers', pp. [v]&ndash;ix",,WIELAND
594,1672,GARSIDE1800-1829,20100817,1822A082,Lights and Shadows of Scottish Life,John WILSON,1822,potgoth,Male,,"LIGHTS AND SHADOWS OF SCOTTISH LIFE, A SELECTION FROM THE PAPERS OF THE LATE ARTHUR AUSTIN","Edinburgh:                     William Blackwood, and T. Cadell, London, 1822","1 vol.  (viii, 430p). 8&deg;",E Bi.5/3; ECB 346; EN2 1822: 82; NSTC 2W25742; OCLC 2718647,"Dedication to Sir Walter Scott, by 'the Editor'","2nd edn 1822 (Corvey), CME 3-628-51088-0; 3rd edn 1823 (NSTC); London 1824 (NSTC); 1839 (OCLC); Boston 1822 (NSTC) [also New York 1822 (OCLC); Philadelphia 1822 (OCLC)]; German trans., 1824 [as <i>Erz&auml;hlungen aus dem Leben in Schottland</i> (RS)]; French trans., 1825 [as <i>Nouvelles «∂∏cossaises, tir«∂∏es des manuscrits d'Arthur Austin</i> (CCFR)]",WILSON
630,1759,GARSIDE1800-1829,20100817,1823A087,"Trials of Margaret Lyndsay, The",John WILSON,1823,potgoth,Male,,THE TRIALS OF MARGARET LYNDSAY. BY THE AUTHOR OF LIGHTS AND SHADOWS OF SCOTTISH LIFE,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1823",1 vol.  (403p). 8&deg;,Corvey; CME 3-628-48830-3; ECB 599; EN2 1823: 87; NSTC 2W25754; OCLC 2506333,,"2nd edn 1823 (NSTC); 3rd edn 1827 (NSTC); 4th edn 1835 (OCLC); new edn 1845 (OCLC); Boston 1823 [also New York 1823 (OCLC); Philadelphia 1823 (OCLC)]; French trans., 1823; German trans., 1827 [as <i>Margarethens Pr&uuml;fungen. Ein Familiengem&auml;lde</i> (RS)]",WILSON
750,1948,GARSIDE1800-1829,20100817,1825A090,"Foresters, The",John WILSON,1825,potgoth,Male,,THE FORESTERS. BY THE AUTHOR OF LIGHTS AND SHADOWS OF SCOTTISH LIFE; AND THE TRIALS OF MARGARET LYNDSAY,"Edinburgh:                     William Blackwood, and T. Cadell, Strand, London, 1825",1 vol.  (413p). 8&deg;,Corvey; CME 3-628-47536-8; ECB 211; EN2 1825: 90; NSTC 2W25716; OCLC 2672319,,New edn 1840 (NUC); 1846 (NSTC); New York 1825 (OCLC) [also Philadelphia 1825 (OCLC)],WILSON
764,1950,GARSIDE1800-1829,20100817,1826A001,Sir John Chiverton,William Harrison AINSWORTH,1826,potgoth|romance,Male,,SIR JOHN CHIVERTON. A ROMANCE,"London:                     John Ebers, Old Bond Street, 1826","1 vol.  (vii, 317p). 8&deg;",Corvey; CME 3-628-48709-9; ECB 539; EN2 1826: 9; NSTC 2C19503; OCLC 3786887,"NSTC gives authorship as William Harrison Ainsworth and J. P. Aston. Sadleir (Items 27, 27a) also notes that this work was written in collaboration with a school friend J. P. Aston",2nd edn 1827 (OCLC),AINSWORTH
194,488,GARSIDE1800-1829,20100817,1806A041,"Mysterious Freebooter, The",Francis LATHOM,1806,potgoth|romance,Male,,"THE MYSTERIOUS FREEBOOTER: OR, THE DAYS OF QUEEN BESS. A ROMANCE. IN FOUR VOLUMES. BY FRANCIS LATHOM, AUTHOR OF MEN AND MANNERS; MYSTERY; ASTONISHMENT; THE IMPENETRABLE SECRET, &C. &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1806","4 vols (I xii, 339p; II 316p; III 336p; IV 391p). 12&deg;",Corvey; CME 3-628-48229-1; ECB 330; EN2 1806: 42; NSTC L545; OCLC 6875287,,3rd edn 1829 (NSTC); 1844 (NSTC),LATHOM
226,553,GARSIDE1800-1829,20100817,1807A034,"Fatal Vow, The",Francis LATHOM,1807,potgoth|romance,Male,,"THE FATAL VOW; OR, ST. MICHAEL'S MONASTERY, A ROMANCE, IN TWO VOLUMES. BY FRANCIS LATHOM. AUTHOR OF THE MYSTERIOUS FREEBOOTER&#8212;MEN AND MANNERS&#8212;HUMAN BEINGS&#8212;MYSTERY&#8212;THE INPENETRABLE SECRET&#8212;THE MIDNIGHT BELL, &C. &C","London:                     Printed for B. Crosby and Co. Stationers' Court. By C. Stower, Paternoster Row, 1807",2 vols (I 323p; II 268p). 12&deg;,BL 12611.d.4; CME 3-628-47956-8; ECB 330; EN2 1807: 35; NSTC L542; xOCLC,,,LATHOM
